Date,Series,CDX_HY_Index,T1,T2,T3,T4,T5,T5_ImpliedSpread,Maturity
16-Sep-08,10,0.07307300,0.84500000,0.54500000,0.09480000,0.04350000,0.01340000,0.01480000,3
17-Sep-08,10,0.07780800,0.85880000,0.57250000,0.10500000,0.04850000,0.01540000,0.01660000,3
18-Sep-08,10,0.07665300,0.84750000,0.56380000,0.10300000,0.04730000,0.01500000,0.01660000,3
19-Sep-08,10,0.07557000,0.84500000,0.55500000,0.10050000,0.04550000,0.01380000,0.01610000,3
20-Sep-08,10,0.06527400,0.81250000,0.49380000,0.08030000,0.03500000,0.00950000,0.01100000,3
23-Sep-08,10,0.06531200,0.81250000,0.49250000,0.08030000,0.03500000,0.00940000,0.01090000,3
24-Sep-08,10,0.06990300,0.83000000,0.52250000,0.08910000,0.03900000,0.01150000,0.01290000,3
25-Sep-08,10,0.07227600,0.83880000,0.53750000,0.09360000,0.04080000,0.01250000,0.01390000,3
26-Sep-08,10,0.07467300,0.84750000,0.55250000,0.09810000,0.04250000,0.01350000,0.01490000,3
27-Sep-08,10,0.07469500,0.84880000,0.55250000,0.09810000,0.04250000,0.01350000,0.01470000,3
30-Sep-08,10,0.07462400,0.84880000,0.55250000,0.09810000,0.04250000,0.01350000,0.01480000,3
1-Oct-08,10,0.07472700,0.84750000,0.55250000,0.09790000,0.04280000,0.01360000,0.01480000,3
